Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group
"Tesla, Inc. (NasdaqGS:TSLA)",NasdaqGS:TSLA,Auto & Truck,Consumer Discretionary,3711,United States,United States
"THOR Industries, Inc. (NYSE:THO)",NYSE:THO,Auto & Truck,Consumer Discretionary,3790,United States,United States
"US Lighting Group, Inc. (OTCPK:USLG)",OTCPK:USLG,Auto & Truck,Consumer Discretionary,3679,United States,United States
"Volcon, Inc. (NasdaqCM:VLCN)",NasdaqCM:VLCN,Auto & Truck,Consumer Discretionary,3751,United States,United States
"Winnebago Industries, Inc. (NYSE:WGO)",NYSE:WGO,Auto & Truck,Consumer Discretionary,3790,United States,United States
Workhorse Group Inc. (NasdaqCM:WKHS),NasdaqCM:WKHS,Auto & Truck,Consumer Discretionary,3711,United States,United States
"American Axle & Manufacturing Holdings, Inc. (NYSE:AXL)",NYSE:AXL,Auto Parts,Consumer Discretionary,3714,United States,United States
Atmus Filtration Technologies Inc. (NYSE:ATMU),NYSE:ATMU,Auto Parts,Consumer Discretionary,3714,United States,United States
BorgWarner Inc. (NYSE:BWA),NYSE:BWA,Auto Parts,Consumer Discretionary,3714,United States,United States
"CDTi Advanced Materials, Inc. (OTCPK:CDTI)",OTCPK:CDTI,Auto Parts,Consumer Discretionary,3714,United States,United States
ConneXionONE Corp. (OTCPK:CNNN),OTCPK:CNNN,Auto Parts,Consumer Discretionary,9995,United States,United States
"Cool Technologies, Inc. (OTCPK:WARM)",OTCPK:WARM,Auto Parts,Consumer Discretionary,3714,United States,United States
Cooper-Standard Holdings Inc. (NYSE:CPS),NYSE:CPS,Auto Parts,Consumer Discretionary,3714,United States,United States
Dana Incorporated (NYSE:DAN),NYSE:DAN,Auto Parts,Consumer Discretionary,3714,United States,United States
